?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/J01FF01>	48
<http://purl.bioontology.org/ontology/ATC/L01EG01>	89
<http://purl.bioontology.org/ontology/ATC/C02KX05>	19
<http://purl.bioontology.org/ontology/ATC/L01CD02>	104
<http://purl.bioontology.org/ontology/ATC/C02KX02>	30
<http://purl.bioontology.org/ontology/ATC/C07AA07>	46
<http://purl.bioontology.org/ontology/ATC/V03AF03>	16
<http://purl.bioontology.org/ontology/ATC/G03AA09>	29
<http://purl.bioontology.org/ontology/ATC/G03FA17>	69
<http://purl.bioontology.org/ontology/ATC/R03AK11>	31
<http://purl.bioontology.org/ontology/ATC/A10AE06>	11
<http://purl.bioontology.org/ontology/ATC/L01EE02>	27
<http://purl.bioontology.org/ontology/ATC/H02AB10>	1
<http://purl.bioontology.org/ontology/ATC/R03AC12>	21
<http://purl.bioontology.org/ontology/ATC/M01AH04>	58
<http://purl.bioontology.org/ontology/ATC/H05BX02>	69
<http://purl.bioontology.org/ontology/ATC/L01EM01>	22
<http://purl.bioontology.org/ontology/ATC/C10AA01>	53
<http://purl.bioontology.org/ontology/ATC/G03AA07>	104
<http://purl.bioontology.org/ontology/ATC/L02BX03>	27
<http://purl.bioontology.org/ontology/ATC/N03AX14>	69
<http://purl.bioontology.org/ontology/ATC/N03AA02>	26
<http://purl.bioontology.org/ontology/ATC/C09BA09>	63
<http://purl.bioontology.org/ontology/ATC/M05BA06>	48
<http://purl.bioontology.org/ontology/ATC/L01AA02>	32
<http://purl.bioontology.org/ontology/ATC/C03DA01>	60
<http://purl.bioontology.org/ontology/ATC/J05AR24>	91
<http://purl.bioontology.org/ontology/ATC/C01BD01>	77
<http://purl.bioontology.org/ontology/ATC/L01EA04>	57
<http://purl.bioontology.org/ontology/ATC/A07EA07>	3
<http://purl.bioontology.org/ontology/ATC/M05BA08>	97
<http://purl.bioontology.org/ontology/ATC/L01EA03>	206
<http://purl.bioontology.org/ontology/ATC/C07AG02>	61
<http://purl.bioontology.org/ontology/ATC/N06DA04>	31
<http://purl.bioontology.org/ontology/ATC/J01CR05>	59
<http://purl.bioontology.org/ontology/ATC/N03AG01>	89
<http://purl.bioontology.org/ontology/ATC/N03AX15>	82
<http://purl.bioontology.org/ontology/ATC/J07AM01>	10
<http://purl.bioontology.org/ontology/ATC/H05BX04>	13
<http://purl.bioontology.org/ontology/ATC/L01EE03>	53
<http://purl.bioontology.org/ontology/ATC/C07CB03>	53
<http://purl.bioontology.org/ontology/ATC/J01CR02>	40
<http://purl.bioontology.org/ontology/ATC/R03AK10>	30
<http://purl.bioontology.org/ontology/ATC/C10AA07>	42
<http://purl.bioontology.org/ontology/ATC/R03AC13>	29
<http://purl.bioontology.org/ontology/ATC/P01BA01>	49
<http://purl.bioontology.org/ontology/ATC/M01AH05>	79
<http://purl.bioontology.org/ontology/ATC/C01DA08>	15
<http://purl.bioontology.org/ontology/ATC/J07BX04>	34
<http://purl.bioontology.org/ontology/ATC/A04AA55>	87
<http://purl.bioontology.org/ontology/ATC/N02BA15>	17
<http://purl.bioontology.org/ontology/ATC/J07AG01>	23
<http://purl.bioontology.org/ontology/ATC/L03AA02>	57
<http://purl.bioontology.org/ontology/ATC/C03XA01>	39
<http://purl.bioontology.org/ontology/ATC/M01AB05>	81
<http://purl.bioontology.org/ontology/ATC/C10AC04>	12
<http://purl.bioontology.org/ontology/ATC/L01EX14>	63
<http://purl.bioontology.org/ontology/ATC/M09AA01>	19
<http://purl.bioontology.org/ontology/ATC/C09DB02>	33
