?o	?totalEdges
<http://snomed.info/id/422587007>	620
<http://snomed.info/id/21522001>	404
<http://snomed.info/id/62315008>	511
<http://snomed.info/id/128139000>	49
<http://snomed.info/id/61170000>	146
<http://snomed.info/id/16761005>	50
<http://snomed.info/id/271681002>	20
<http://snomed.info/id/423590009>	34
<http://snomed.info/id/240677003>	22
<http://snomed.info/id/84828003>	243
<http://snomed.info/id/303011007>	186
<http://snomed.info/id/17182001>	155
<http://snomed.info/id/302215000>	312
<http://snomed.info/id/419455006>	151
<http://snomed.info/id/95383009>	1
<http://snomed.info/id/22253000>	291
<http://snomed.info/id/95379009>	6
<http://snomed.info/id/19730000>	28
<http://snomed.info/id/87317003>	4
<http://snomed.info/id/45007003>	225
<http://snomed.info/id/399993004>	136
<http://snomed.info/id/247470007>	5
<http://snomed.info/id/418290006>	490
<http://snomed.info/id/126485001>	450
<http://snomed.info/id/36715001>	165
<http://snomed.info/id/410430005>	1
<http://snomed.info/id/65124004>	88
<http://snomed.info/id/703938007>	190
<http://snomed.info/id/702617007>	49
<http://snomed.info/id/162432007>	19
<http://snomed.info/id/124911000119100>	111
<http://snomed.info/id/73442001>	74
<http://snomed.info/id/768962006>	156
<http://snomed.info/id/421961002>	208
<http://snomed.info/id/430546009>	1
<http://snomed.info/id/30800001>	12
<http://snomed.info/id/39579001>	180
<http://snomed.info/id/27942005>	50
<http://snomed.info/id/609433001>	150
<http://snomed.info/id/417237009>	12
<http://snomed.info/id/18165001>	142
<http://snomed.info/id/95556007>	15
<http://snomed.info/id/416956002>	1
<http://snomed.info/id/40095003>	8
<http://snomed.info/id/275462005>	7
<http://snomed.info/id/25064002>	593
<http://snomed.info/id/271782001>	264
<http://snomed.info/id/404640003>	536
<http://snomed.info/id/233604007>	80
<http://snomed.info/id/702392008>	1
<http://snomed.info/id/702391001>	3
<http://snomed.info/id/443487006>	1
<http://snomed.info/id/312133006>	3
<http://snomed.info/id/788962001>	1
<http://snomed.info/id/193462001>	259
<http://snomed.info/id/267036007>	273
<http://snomed.info/id/49727002>	190
<http://snomed.info/id/249366005>	112
<http://snomed.info/id/79890006>	279
<http://snomed.info/id/111360009>	270
<http://snomed.info/id/95361005>	38
<http://snomed.info/id/271807003>	583
<http://snomed.info/id/240676007>	4
<http://snomed.info/id/52475004>	80
<http://snomed.info/id/57676002>	286
<http://snomed.info/id/84229001>	373
<http://snomed.info/id/17099003>	5
<http://snomed.info/id/735937001>	3
<http://snomed.info/id/20502007>	1
<http://snomed.info/id/386661006>	206
<http://snomed.info/id/274640006>	34
<http://snomed.info/id/13791008>	299
<http://snomed.info/id/29857009>	92
<http://snomed.info/id/271737000>	223
<http://snomed.info/id/80394007>	137
<http://snomed.info/id/13644009>	36
<http://snomed.info/id/129591001>	30
<http://snomed.info/id/43339004>	124
<http://snomed.info/id/64156001>	43
<http://snomed.info/id/38341003>	224
<http://snomed.info/id/462163003>	21
<http://snomed.info/id/233703007>	72
<http://snomed.info/id/91302008>	66
<http://snomed.info/id/3218000>	33
<http://snomed.info/id/707271004>	1
<http://snomed.info/id/300935003>	1
<http://snomed.info/id/164999009>	2
<http://snomed.info/id/48694002>	226
<http://snomed.info/id/35489007>	284
<http://snomed.info/id/36955009>	21
<http://snomed.info/id/91019004>	274
<http://snomed.info/id/9826008>	77
<http://snomed.info/id/4556007>	64
<http://snomed.info/id/40739000>	70
<http://snomed.info/id/102616008>	9
<http://snomed.info/id/66383009>	21
<http://snomed.info/id/426965005>	5
<http://snomed.info/id/11381005>	48
<http://snomed.info/id/17790008>	20
<http://snomed.info/id/302227002>	54
<http://snomed.info/id/271813007>	27
<http://snomed.info/id/68962001>	306
<http://snomed.info/id/42399005>	149
<http://snomed.info/id/73211009>	66
<http://snomed.info/id/34095006>	98
<http://snomed.info/id/4996001>	50
<http://snomed.info/id/5291005>	54
<http://snomed.info/id/55822004>	23
<http://snomed.info/id/48813009>	39
<http://snomed.info/id/1386000>	16
<http://snomed.info/id/373945007>	14
<http://snomed.info/id/59282003>	54
<http://snomed.info/id/56905009>	12
<http://snomed.info/id/271618001>	4
<http://snomed.info/id/415125002>	6
<http://snomed.info/id/240131006>	98
<http://snomed.info/id/281647001>	172
<http://snomed.info/id/292835006>	1
<http://snomed.info/id/61026006>	16
<http://snomed.info/id/95518006>	3
<http://snomed.info/id/89362005>	61
<http://snomed.info/id/409089005>	47
<http://snomed.info/id/267038008>	182
<http://snomed.info/id/54150009>	63
<http://snomed.info/id/162031009>	298
<http://snomed.info/id/271809000>	69
<http://snomed.info/id/80313002>	199
<http://snomed.info/id/235595009>	30
<http://snomed.info/id/271835004>	38
<http://snomed.info/id/414822009>	2
<http://snomed.info/id/131148009>	112
<http://snomed.info/id/95453001>	3
<http://snomed.info/id/128540005>	17
<http://snomed.info/id/414795007>	20
<http://snomed.info/id/193982009>	13
<http://snomed.info/id/198436008>	100
<http://snomed.info/id/14302001>	61
<http://snomed.info/id/61599003>	44
<http://snomed.info/id/248332009>	30
<http://snomed.info/id/271594007>	164
<http://snomed.info/id/234097001>	7
<http://snomed.info/id/91861009>	17
<http://snomed.info/id/109995007>	13
<http://snomed.info/id/64531003>	34
<http://snomed.info/id/162397003>	29
<http://snomed.info/id/12584003>	41
<http://snomed.info/id/161891005>	133
