?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/J01FF01>	1
<http://purl.bioontology.org/ontology/ATC/L01EG01>	3
<http://purl.bioontology.org/ontology/ATC/C02KX05>	6
<http://purl.bioontology.org/ontology/ATC/L01CD02>	3
<http://purl.bioontology.org/ontology/ATC/C02KX02>	4
<http://purl.bioontology.org/ontology/ATC/C07AA07>	11
<http://purl.bioontology.org/ontology/ATC/V03AF03>	4
<http://purl.bioontology.org/ontology/ATC/G03AA09>	32
<http://purl.bioontology.org/ontology/ATC/G03FA17>	17
<http://purl.bioontology.org/ontology/ATC/A10AE06>	1
<http://purl.bioontology.org/ontology/ATC/R03AC12>	1
<http://purl.bioontology.org/ontology/ATC/M01AH04>	18
<http://purl.bioontology.org/ontology/ATC/H05BX02>	2
<http://purl.bioontology.org/ontology/ATC/C10AA01>	2
<http://purl.bioontology.org/ontology/ATC/G03AA07>	32
<http://purl.bioontology.org/ontology/ATC/L02BX03>	1
<http://purl.bioontology.org/ontology/ATC/N03AX14>	1
<http://purl.bioontology.org/ontology/ATC/N03AA02>	4
<http://purl.bioontology.org/ontology/ATC/C09BA09>	6
<http://purl.bioontology.org/ontology/ATC/M05BA06>	4
<http://purl.bioontology.org/ontology/ATC/C03DA01>	4
<http://purl.bioontology.org/ontology/ATC/C01BD01>	2
<http://purl.bioontology.org/ontology/ATC/L01EA04>	1
<http://purl.bioontology.org/ontology/ATC/A07EA07>	1
<http://purl.bioontology.org/ontology/ATC/M05BA08>	5
<http://purl.bioontology.org/ontology/ATC/C07AG02>	9
<http://purl.bioontology.org/ontology/ATC/J01CR05>	1
<http://purl.bioontology.org/ontology/ATC/N03AG01>	7
<http://purl.bioontology.org/ontology/ATC/N03AX15>	2
<http://purl.bioontology.org/ontology/ATC/J07AM01>	1
<http://purl.bioontology.org/ontology/ATC/C07CB03>	9
<http://purl.bioontology.org/ontology/ATC/J01CR02>	5
<http://purl.bioontology.org/ontology/ATC/C10AA07>	9
<http://purl.bioontology.org/ontology/ATC/P01BA01>	5
<http://purl.bioontology.org/ontology/ATC/M01AH05>	13
<http://purl.bioontology.org/ontology/ATC/C01DA08>	12
<http://purl.bioontology.org/ontology/ATC/J07BX04>	4
<http://purl.bioontology.org/ontology/ATC/A04AA55>	1
<http://purl.bioontology.org/ontology/ATC/N02BA15>	20
<http://purl.bioontology.org/ontology/ATC/J07AG01>	3
<http://purl.bioontology.org/ontology/ATC/C03XA01>	7
<http://purl.bioontology.org/ontology/ATC/M01AB05>	21
<http://purl.bioontology.org/ontology/ATC/C10AC04>	1
<http://purl.bioontology.org/ontology/ATC/M09AA01>	5
<http://purl.bioontology.org/ontology/ATC/C09DB02>	7
<http://purl.bioontology.org/ontology/ATC/J05AR14>	1
<http://purl.bioontology.org/ontology/ATC/C09BA06>	3
<http://purl.bioontology.org/ontology/ATC/N06DA02>	1
<http://purl.bioontology.org/ontology/ATC/J05AR13>	1
<http://purl.bioontology.org/ontology/ATC/A07EA06>	5
<http://purl.bioontology.org/ontology/ATC/J07BC20>	2
<http://purl.bioontology.org/ontology/ATC/A07EC02>	3
<http://purl.bioontology.org/ontology/ATC/M05BA07>	3
<http://purl.bioontology.org/ontology/ATC/N03AA03>	4
<http://purl.bioontology.org/ontology/ATC/J05AR22>	1
<http://purl.bioontology.org/ontology/ATC/C02AC05>	2
<http://purl.bioontology.org/ontology/ATC/L01XA03>	5
<http://purl.bioontology.org/ontology/ATC/J01MA01>	6
<http://purl.bioontology.org/ontology/ATC/N05AE03>	6
<http://purl.bioontology.org/ontology/ATC/N05CD02>	5
<http://purl.bioontology.org/ontology/ATC/N02AJ13>	9
