?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/J01FF01>	31
<http://purl.bioontology.org/ontology/ATC/L01EG01>	6
<http://purl.bioontology.org/ontology/ATC/C02KX05>	4
<http://purl.bioontology.org/ontology/ATC/L01CD02>	9
<http://purl.bioontology.org/ontology/ATC/C02KX02>	6
<http://purl.bioontology.org/ontology/ATC/C07AA07>	10
<http://purl.bioontology.org/ontology/ATC/V03AF03>	3
<http://purl.bioontology.org/ontology/ATC/G03FA17>	2
<http://purl.bioontology.org/ontology/ATC/R03AK11>	1
<http://purl.bioontology.org/ontology/ATC/A10AE06>	2
<http://purl.bioontology.org/ontology/ATC/L01EE02>	1
<http://purl.bioontology.org/ontology/ATC/H02AB10>	2
<http://purl.bioontology.org/ontology/ATC/R03AC12>	3
<http://purl.bioontology.org/ontology/ATC/M01AH04>	1
<http://purl.bioontology.org/ontology/ATC/H05BX02>	3
<http://purl.bioontology.org/ontology/ATC/L01EM01>	1
<http://purl.bioontology.org/ontology/ATC/C10AA01>	4
<http://purl.bioontology.org/ontology/ATC/G03AA07>	3
<http://purl.bioontology.org/ontology/ATC/L02BX03>	4
<http://purl.bioontology.org/ontology/ATC/N03AX14>	5
<http://purl.bioontology.org/ontology/ATC/N03AA02>	3
<http://purl.bioontology.org/ontology/ATC/C09BA09>	1
<http://purl.bioontology.org/ontology/ATC/M05BA06>	2
<http://purl.bioontology.org/ontology/ATC/L01AA02>	1
<http://purl.bioontology.org/ontology/ATC/C03DA01>	10
<http://purl.bioontology.org/ontology/ATC/J05AR24>	1
<http://purl.bioontology.org/ontology/ATC/C01BD01>	7
<http://purl.bioontology.org/ontology/ATC/L01EA04>	2
<http://purl.bioontology.org/ontology/ATC/A07EA07>	4
<http://purl.bioontology.org/ontology/ATC/M05BA08>	7
<http://purl.bioontology.org/ontology/ATC/L01EA03>	5
<http://purl.bioontology.org/ontology/ATC/C07AG02>	4
<http://purl.bioontology.org/ontology/ATC/N06DA04>	1
<http://purl.bioontology.org/ontology/ATC/J01CR05>	11
<http://purl.bioontology.org/ontology/ATC/N03AG01>	11
<http://purl.bioontology.org/ontology/ATC/N03AX15>	5
<http://purl.bioontology.org/ontology/ATC/J07AM01>	2
<http://purl.bioontology.org/ontology/ATC/H05BX04>	2
<http://purl.bioontology.org/ontology/ATC/L01EE03>	2
<http://purl.bioontology.org/ontology/ATC/C07CB03>	1
<http://purl.bioontology.org/ontology/ATC/J01CR02>	23
<http://purl.bioontology.org/ontology/ATC/R03AK10>	2
<http://purl.bioontology.org/ontology/ATC/C10AA07>	4
<http://purl.bioontology.org/ontology/ATC/R03AC13>	2
<http://purl.bioontology.org/ontology/ATC/P01BA01>	4
<http://purl.bioontology.org/ontology/ATC/M01AH05>	7
<http://purl.bioontology.org/ontology/ATC/C01DA08>	5
<http://purl.bioontology.org/ontology/ATC/J07BX04>	1
<http://purl.bioontology.org/ontology/ATC/N02BA15>	10
<http://purl.bioontology.org/ontology/ATC/J07AG01>	5
<http://purl.bioontology.org/ontology/ATC/L03AA02>	9
<http://purl.bioontology.org/ontology/ATC/C03XA01>	6
<http://purl.bioontology.org/ontology/ATC/M01AB05>	25
<http://purl.bioontology.org/ontology/ATC/C10AC04>	2
<http://purl.bioontology.org/ontology/ATC/M09AA01>	1
<http://purl.bioontology.org/ontology/ATC/C09DB02>	2
<http://purl.bioontology.org/ontology/ATC/L01CB01>	2
<http://purl.bioontology.org/ontology/ATC/L01EA02>	5
<http://purl.bioontology.org/ontology/ATC/C09BA06>	1
<http://purl.bioontology.org/ontology/ATC/J04AK05>	1
<http://purl.bioontology.org/ontology/ATC/A07AA09>	1
<http://purl.bioontology.org/ontology/ATC/N06DA02>	1
<http://purl.bioontology.org/ontology/ATC/J05AR13>	1
<http://purl.bioontology.org/ontology/ATC/L01EA05>	4
<http://purl.bioontology.org/ontology/ATC/A07EA06>	13
<http://purl.bioontology.org/ontology/ATC/A04AA01>	6
<http://purl.bioontology.org/ontology/ATC/N06AB10>	8
<http://purl.bioontology.org/ontology/ATC/J07BC20>	1
<http://purl.bioontology.org/ontology/ATC/L01EC01>	1
<http://purl.bioontology.org/ontology/ATC/A07EC02>	9
<http://purl.bioontology.org/ontology/ATC/J05AR25>	1
<http://purl.bioontology.org/ontology/ATC/M05BA07>	2
<http://purl.bioontology.org/ontology/ATC/L01AA03>	7
<http://purl.bioontology.org/ontology/ATC/N03AA03>	3
<http://purl.bioontology.org/ontology/ATC/A10AE54>	2
<http://purl.bioontology.org/ontology/ATC/C02AC05>	2
<http://purl.bioontology.org/ontology/ATC/L01XX41>	4
<http://purl.bioontology.org/ontology/ATC/J05AB11>	16
<http://purl.bioontology.org/ontology/ATC/R07AX30>	2
<http://purl.bioontology.org/ontology/ATC/L01XA03>	5
<http://purl.bioontology.org/ontology/ATC/J01MA01>	12
<http://purl.bioontology.org/ontology/ATC/N05AE03>	1
<http://purl.bioontology.org/ontology/ATC/N05CD02>	3
<http://purl.bioontology.org/ontology/ATC/N02AJ13>	2
<http://purl.bioontology.org/ontology/ATC/N06AX12>	1
<http://purl.bioontology.org/ontology/ATC/J01MA06>	7
<http://purl.bioontology.org/ontology/ATC/L01XK03>	3
<http://purl.bioontology.org/ontology/ATC/C07AB12>	4
<http://purl.bioontology.org/ontology/ATC/V01AA11>	5
<http://purl.bioontology.org/ontology/ATC/R03CC02>	2
<http://purl.bioontology.org/ontology/ATC/N05AX13>	3
<http://purl.bioontology.org/ontology/ATC/S01EC01>	5
<http://purl.bioontology.org/ontology/ATC/G04BE10>	1
<http://purl.bioontology.org/ontology/ATC/L01XK04>	3
<http://purl.bioontology.org/ontology/ATC/C08CA01>	4
<http://purl.bioontology.org/ontology/ATC/A10BD08>	4
<http://purl.bioontology.org/ontology/ATC/C09CA01>	16
<http://purl.bioontology.org/ontology/ATC/L01XX23>	2
<http://purl.bioontology.org/ontology/ATC/N05AA02>	2
<http://purl.bioontology.org/ontology/ATC/R03AL05>	1
<http://purl.bioontology.org/ontology/ATC/A10BH03>	4
<http://purl.bioontology.org/ontology/ATC/C09CA06>	5
<http://purl.bioontology.org/ontology/ATC/R03AL02>	4
<http://purl.bioontology.org/ontology/ATC/L04AC07>	13
<http://purl.bioontology.org/ontology/ATC/L01DC01>	13
<http://purl.bioontology.org/ontology/ATC/J01GB01>	11
<http://purl.bioontology.org/ontology/ATC/D01BA02>	17
<http://purl.bioontology.org/ontology/ATC/J01AA02>	30
<http://purl.bioontology.org/ontology/ATC/N06AA04>	5
<http://purl.bioontology.org/ontology/ATC/L01XG01>	1
<http://purl.bioontology.org/ontology/ATC/G04CB02>	5
<http://purl.bioontology.org/ontology/ATC/H03AA02>	2
<http://purl.bioontology.org/ontology/ATC/J01GB06>	1
<http://purl.bioontology.org/ontology/ATC/A10BB03>	2
<http://purl.bioontology.org/ontology/ATC/M01AE17>	4
<http://purl.bioontology.org/ontology/ATC/C09CA08>	3
<http://purl.bioontology.org/ontology/ATC/B05BC01>	8
<http://purl.bioontology.org/ontology/ATC/C09DX01>	2
<http://purl.bioontology.org/ontology/ATC/N06AX22>	1
<http://purl.bioontology.org/ontology/ATC/V03AE10>	2
<http://purl.bioontology.org/ontology/ATC/N05AX12>	4
<http://purl.bioontology.org/ontology/ATC/H01AC01>	9
<http://purl.bioontology.org/ontology/ATC/J01EE03>	17
<http://purl.bioontology.org/ontology/ATC/A10BD07>	2
<http://purl.bioontology.org/ontology/ATC/C07BB02>	1
